method,variant,crop_fraction,policy,held_out,threshold,train_eff_acc,test_eff_acc,test_acc,n_decided,abstain_pct
embedding,,0.85,track_majority,clip_3,0.5007,0.592,0.5441,0.5456,746,0.3
embedding,,0.85,window_weighted,clip_1,0.5006,0.5857,0.5401,0.5401,137,0.0
embedding,,0.85,window_weighted,clip_2,0.5007,0.5921,0.5478,0.5478,314,0.0
embedding,,0.85,window_weighted,clip_3,0.5007,0.5455,0.6016,0.6032,746,0.3
fashionclip,A_generic,1.0,none,clip_1,0.5054,0.9595,0.8467,0.8467,137,0.0
fashionclip,A_generic,1.0,none,clip_2,0.5039,0.9469,0.9459,0.9489,313,0.3
fashionclip,A_generic,1.0,none,clip_3,0.5038,0.9157,0.9652,0.9652,748,0.0
fashionclip,A_generic,1.0,memoise_reset,clip_1,0.5054,0.8945,0.8613,0.8613,137,0.0
fashionclip,A_generic,1.0,memoise_reset,clip_2,0.5039,0.878,0.9268,0.9297,313,0.3
fashionclip,A_generic,1.0,memoise_reset,clip_3,0.5038,0.9069,0.881,0.881,748,0.0
fashionclip,A_generic,1.0,track_majority,clip_1,0.5054,0.9275,0.8321,0.8321,137,0.0
fashionclip,A_generic,1.0,track_majority,clip_2,0.5039,0.8893,0.9936,0.9968,313,0.3
fashionclip,A_generic,1.0,track_majority,clip_3,0.5038,0.9446,0.8997,0.8997,748,0.0
fashionclip,A_generic,1.0,window_weighted,clip_1,0.5054,0.9765,0.8394,0.8394,137,0.0
fashionclip,A_generic,1.0,window_weighted,clip_2,0.5039,0.9559,0.9745,0.9776,313,0.3
fashionclip,A_generic,1.0,window_weighted,clip_3,0.5038,0.9335,0.9773,0.9773,748,0.0
fashionclip,B_domain,1.0,none,clip_1,0.5114,0.9633,0.8686,0.8686,137,0.0
fashionclip,B_domain,1.0,none,clip_2,0.5115,0.9559,0.9427,0.9457,313,0.3
fashionclip,B_domain,1.0,none,clip_3,0.5065,0.9202,0.9719,0.9719,748,0.0
fashionclip,B_domain,1.0,memoise_reset,clip_1,0.5114,0.8955,0.8613,0.8613,137,0.0
fashionclip,B_domain,1.0,memoise_reset,clip_2,0.5115,0.878,0.9299,0.9329,313,0.3
fashionclip,B_domain,1.0,memoise_reset,clip_3,0.5065,0.9091,0.881,0.881,748,0.0
fashionclip,B_domain,1.0,track_majority,clip_1,0.5114,0.9275,0.8321,0.8321,137,0.0
fashionclip,B_domain,1.0,track_majority,clip_2,0.5115,0.8893,0.9936,0.9968,313,0.3
fashionclip,B_domain,1.0,track_majority,clip_3,0.5065,0.9446,0.8997,0.8997,748,0.0
fashionclip,B_domain,1.0,window_weighted,clip_1,0.5114,0.9727,0.854,0.854,137,0.0
fashionclip,B_domain,1.0,window_weighted,clip_2,0.5115,0.9559,0.9682,0.9712,313,0.3
fashionclip,B_domain,1.0,window_weighted,clip_3,0.5065,0.9335,0.9746,0.9746,748,0.0
fashionclip,C_nba,1.0,none,clip_1,0.5108,0.9661,0.8467,0.8593,135,1.5
fashionclip,C_nba,1.0,none,clip_2,0.5078,0.9514,0.9554,0.9554,314,0.0
fashionclip,C_nba,1.0,none,clip_3,0.5068,0.9224,0.9706,0.9706,748,0.0
fashionclip,C_nba,1.0,memoise_reset,clip_1,0.5108,0.8955,0.854,0.8667,135,1.5
fashionclip,C_nba,1.0,memoise_reset,clip_2,0.5078,0.878,0.9299,0.9299,314,0.0
fashionclip,C_nba,1.0,memoise_reset,clip_3,0.5068,0.9091,0.881,0.881,748,0.0
fashionclip,C_nba,1.0,track_majority,clip_1,0.5108,0.9284,0.8248,0.837,135,1.5
fashionclip,C_nba,1.0,track_majority,clip_2,0.5078,0.8893,0.9968,0.9968,314,0.0
fashionclip,C_nba,1.0,track_majority,clip_3,0.5068,0.9468,0.8997,0.8997,748,0.0
fashionclip,C_nba,1.0,window_weighted,clip_1,0.5108,0.9755,0.8686,0.8815,135,1.5
fashionclip,C_nba,1.0,window_weighted,clip_2,0.5078,0.9616,0.9745,0.9745,314,0.0
fashionclip,C_nba,1.0,window_weighted,clip_3,0.5068,0.9446,0.9773,0.9773,748,0.0
kmeans,,1.0,none,clip_1,0.5015,0.7128,0.5985,0.5985,137,0.0
kmeans,,1.0,none,clip_2,0.5014,0.6847,0.742,0.742,314,0.0
kmeans,,1.0,none,clip_3,0.5031,0.6984,0.7005,0.7034,745,0.4
kmeans,,1.0,memoise_reset,clip_1,0.5015,0.709,0.5766,0.5766,137,0.0
kmeans,,1.0,memoise_reset,clip_2,0.5014,0.6904,0.7038,0.7038,314,0.0
kmeans,,1.0,memoise_reset,clip_3,0.5031,0.6652,0.7099,0.7128,745,0.4
kmeans,,1.0,track_majority,clip_1,0.5015,0.7373,0.6131,0.6131,137,0.0
kmeans,,1.0,track_majority,clip_2,0.5014,0.696,0.7994,0.7994,314,0.0
